"Date","Price","Open","High","Low","Change %"
"08/27/2024","67.26","67.26","67.26","67.26","-0.04%"
"08/26/2024","67.29","67.29","67.29","67.28","-4.21%"
"08/23/2024","70.25","70.25","70.25","70.25","-1.36%"
"08/22/2024","71.22","71.22","71.22","71.21","-0.71%"
"08/21/2024","71.73","71.73","71.74","71.73","-0.01%"
"08/20/2024","71.74","71.74","71.74","71.74","0.00%"
"08/19/2024","71.74","71.74","71.74","71.74","-1.36%"
"08/16/2024","72.73","72.73","72.76","72.73","-4.55%"
"08/15/2024","76.20","76.20","76.20","76.20","-3.75%"
"08/14/2024","79.17","79.17","79.17","78.19","0.00%"
"08/13/2024","79.17","79.17","79.18","79.17","0.64%"
"08/12/2024","78.67","78.67","78.68","78.67","-1.87%"
"08/09/2024","80.17","80.17","80.17","80.17","-0.02%"
"08/08/2024","80.19","80.19","80.19","80.18","1.31%"
"08/07/2024","79.15","79.15","79.16","79.15","-1.21%"
"08/06/2024","80.12","80.12","80.12","80.12","-2.51%"
"08/05/2024","82.18","82.18","82.20","82.18","6.45%"
"08/02/2024","77.20","77.20","77.21","77.20","3.35%"
"08/01/2024","74.70","74.70","74.70","74.70","-0.66%"
"07/31/2024","75.20","75.20","75.20","74.72","0.00%"
"07/30/2024","75.20","75.20","75.21","75.20","0.63%"
"07/29/2024","74.73","74.73","74.73","74.73","-1.28%"
"07/26/2024","75.70","75.70","75.70","75.70","-0.70%"
"07/25/2024","76.23","76.23","76.23","76.23","4.10%"
"07/24/2024","73.23","73.23","73.25","73.23","0.00%"
"07/23/2024","73.23","73.23","73.23","73.23","-3.89%"
"07/22/2024","76.19","76.19","76.20","76.19","2.70%"
"07/19/2024","74.19","74.19","76.68","74.19","0.00%"
"07/18/2024","74.19","74.19","74.19","74.19","2.04%"
"07/17/2024","72.71","72.71","72.71","72.71","-0.05%"
"07/16/2024","72.75","72.75","72.75","72.72","1.42%"
"07/15/2024","71.73","71.73","71.73","71.72","0.01%"
"07/12/2024","71.72","71.72","71.73","71.72","-0.03%"
"07/11/2024","71.74","71.74","71.80","71.74","-1.36%"
"07/10/2024","72.73","72.73","72.73","72.73","0.01%"
"07/09/2024","72.72","72.72","72.72","72.72","-1.33%"
"07/08/2024","73.70","73.70","73.70","73.70","-0.70%"
"07/05/2024","74.22","74.22","74.22","74.22","-0.66%"
"07/04/2024","74.71","74.71","74.71","74.71","-1.29%"
"07/03/2024","75.69","75.69","75.69","75.69","-1.96%"
"07/02/2024","77.20","77.20","77.22","77.20","-1.24%"
"07/01/2024","78.17","78.17","78.17","78.16","0.00%"
"06/28/2024","78.17","78.17","78.17","78.17","0.00%"
"06/27/2024","78.17","78.17","78.17","78.17","0.01%"
"06/26/2024","78.16","78.16","78.16","78.16","-0.01%"
"06/25/2024","78.17","78.17","78.17","78.17","-0.01%"
"06/24/2024","78.18","78.18","78.18","78.17","0.63%"
"06/21/2024","77.69","77.69","77.70","77.69","0.67%"
"06/20/2024","77.17","77.17","77.17","77.17","-0.03%"
"06/19/2024","77.19","77.19","77.19","77.18","-0.63%"
"06/18/2024","77.68","77.68","77.69","77.68","1.29%"
"06/17/2024","76.69","76.69","76.69","76.69","6.29%"
"06/14/2024","72.15","72.15","76.72","72.15","-24.24%"
"06/13/2024","95.24","95.24","95.24","72.24","30.07%"
"06/12/2024","73.22","73.22","73.22","73.22","0.66%"
"06/11/2024","72.74","72.74","72.75","72.74","0.03%"
"06/10/2024","72.72","72.72","72.72","72.72","0.00%"
"06/07/2024","72.72","72.72","72.72","72.71","0.01%"
"06/06/2024","72.71","72.71","72.72","72.71","0.00%"
"06/05/2024","72.71","72.71","72.72","72.71","0.65%"
"06/04/2024","72.24","72.24","72.24","72.24","0.00%"
"06/03/2024","72.24","72.24","72.25","72.24","-22.63%"
"05/31/2024","93.37","93.37","93.37","72.72","-0.01%"
"05/30/2024","93.38","93.38","93.38","72.74","31.10%"
"05/29/2024","71.23","71.23","71.23","71.23","-0.03%"
"05/28/2024","71.25","71.25","71.25","71.25","-1.37%"
"05/27/2024","72.24","72.24","72.24","72.24","-0.01%"
"05/24/2024","72.25","72.25","72.25","72.23","2.11%"
"05/23/2024","70.76","70.76","70.76","70.76","1.46%"
"05/22/2024","69.74","69.74","69.74","69.73","-1.43%"
"05/21/2024","70.75","70.75","70.75","69.78","0.70%"
"05/20/2024","70.26","70.26","70.26","70.24","0.00%"
"05/17/2024","70.26","70.26","70.26","70.25","0.00%"
"05/16/2024","70.26","70.26","70.26","70.25","32.87%"
"05/15/2024","52.88","52.88","71.81","52.88","-26.81%"
"05/14/2024","72.25","72.25","72.26","72.25","0.00%"
"05/13/2024","72.25","72.25","72.26","72.25","0.00%"
"05/10/2024","72.25","72.25","72.25","72.24","0.03%"
"05/09/2024","72.23","72.23","72.24","72.23","0.00%"
"05/08/2024","72.23","72.23","72.23","72.23","2.06%"
"05/07/2024","70.77","70.77","70.77","70.77","-1.39%"
"05/06/2024","71.77","71.77","71.78","71.77","-3.33%"
"05/03/2024","74.24","74.24","74.30","74.24","-1.34%"
"05/02/2024","75.25","75.24","75.25","75.24","-0.62%"
"05/01/2024","75.72","75.72","75.73","75.72","0.01%"
"04/30/2024","75.71","75.71","75.71","75.71","-1.33%"
"04/29/2024","76.73","76.73","76.73","76.72","-3.11%"
"04/26/2024","79.19","79.19","79.19","79.18","-0.61%"
"04/25/2024","79.68","79.68","79.68","79.64","2.57%"
"04/24/2024","77.68","77.68","77.68","77.68","-0.64%"
"04/23/2024","78.18","78.18","78.18","78.18","-2.48%"
"04/22/2024","80.17","80.17","80.18","80.17","-1.24%"
"04/19/2024","81.18","81.18","81.18","81.18","3.81%"
"04/18/2024","78.20","78.20","78.20","78.19","-2.47%"
"04/17/2024","80.18","80.18","80.18","80.17","0.02%"
"04/16/2024","80.16","80.16","80.16","80.16","3.86%"
"04/15/2024","77.18","77.18","77.18","77.14","2.59%"
"04/12/2024","75.23","75.23","75.24","75.23","1.36%"
"04/11/2024","74.22","74.22","74.22","74.22","1.35%"
"04/10/2024","73.23","73.23","73.23","73.23","-0.03%"
"04/09/2024","73.25","73.25","73.25","73.25","-3.21%"
"04/08/2024","75.68","75.68","75.68","75.68","-1.30%"
"04/05/2024","76.68","76.68","76.69","76.68","1.28%"
"04/04/2024","75.71","75.71","75.71","75.70","0.01%"
"04/03/2024","75.70","75.70","75.71","75.70","1.98%"
"04/02/2024","74.23","74.23","74.23","74.21","1.34%"
"04/01/2024","73.25","73.25","73.25","73.24","0.00%"
"03/29/2024","73.25","73.25","73.25","73.25","0.05%"
"03/28/2024","73.21","73.21","73.21","73.21","-0.03%"
"03/27/2024","73.23","73.23","73.24","73.23","1.34%"
"03/26/2024","72.26","72.26","72.26","72.26","0.04%"
"03/25/2024","72.23","72.23","72.23","72.22","-0.04%"
"03/22/2024","72.26","72.26","72.26","72.26","-0.01%"
"03/21/2024","72.27","72.27","72.27","72.27","-2.67%"
"03/20/2024","74.25","74.25","74.25","74.25","8.79%"
"03/19/2024","68.25","68.25","68.25","68.25","0.00%"
"03/18/2024","68.25","68.25","68.26","68.25","0.00%"
"03/15/2024","68.25","68.25","68.25","68.25","0.00%"
"03/14/2024","68.25","68.25","68.25","68.25","-1.44%"
"03/13/2024","69.25","69.25","69.25","69.25","-1.40%"
"03/12/2024","70.23","70.23","70.23","70.23","-0.01%"
"03/11/2024","70.24","70.24","70.24","70.22","-0.01%"
"03/08/2024","70.25","70.25","70.25","70.25","0.03%"
"03/07/2024","70.23","70.23","70.24","70.23","0.01%"
"03/06/2024","70.22","70.22","70.22","70.22","-0.04%"
"03/05/2024","70.25","70.25","70.25","70.25","0.04%"
"03/04/2024","70.22","70.22","70.23","70.22","-0.03%"
"03/01/2024","70.24","70.24","70.24","70.24","-0.66%"
"02/29/2024","70.71","70.71","70.71","70.71","-0.74%"
"02/28/2024","71.24","71.24","71.24","71.24","1.42%"
"02/27/2024","70.24","70.24","70.24","70.24","2.90%"
"02/26/2024","68.26","68.26","68.26","68.25","0.06%"
"02/23/2024","68.22","68.22","68.24","68.22","-2.86%"
"02/22/2024","70.23","70.24","70.24","70.23","-2.77%"
"02/21/2024","72.23","72.23","72.23","72.23","0.68%"
"02/20/2024","71.74","71.74","71.74","71.74","0.01%"
"02/19/2024","71.73","71.73","71.73","71.73","0.01%"
"02/16/2024","71.72","71.72","71.72","71.71","-1.43%"
"02/15/2024","72.76","72.76","72.76","72.76","-3.30%"
"02/14/2024","75.24","75.24","75.24","75.23","1.37%"
"02/13/2024","74.22","74.22","74.22","74.22","0.00%"
"02/12/2024","74.22","74.22","74.22","74.22","0.00%"
"02/09/2024","74.22","74.22","74.22","74.21","-0.01%"
"02/08/2024","74.23","74.23","74.23","74.22","0.01%"
"02/07/2024","74.22","74.22","74.22","74.22","-0.68%"
"02/06/2024","74.73","74.73","74.73","74.73","-0.59%"
"02/05/2024","75.17","75.17","75.17","75.17","0.64%"
"02/02/2024","74.69","74.69","74.70","74.69","-2.63%"
"02/01/2024","76.71","76.71","76.71","76.71","2.64%"
"01/31/2024","74.74","74.74","74.74","74.74","-2.56%"
"01/30/2024","76.70","76.70","76.70","76.70","-0.04%"
"01/29/2024","76.73","76.73","76.73","76.73","0.04%"
"01/26/2024","76.70","76.70","76.70","76.70","0.63%"
"01/25/2024","76.22","76.22","76.22","76.21","3.35%"
"01/24/2024","73.75","73.75","73.75","73.75","-0.63%"
"01/23/2024","74.22","74.22","74.22","74.22","-0.67%"
"01/22/2024","74.72","74.72","74.74","74.72","-0.66%"
"01/19/2024","75.22","75.22","75.22","75.22","-1.32%"
"01/18/2024","76.23","76.23","76.23","76.23","-1.23%"
"01/17/2024","77.18","77.18","77.18","77.18","3.33%"
"01/16/2024","74.69","74.69","74.69","74.69","0.65%"
"01/15/2024","74.21","74.21","74.21","74.21","-0.03%"
"01/12/2024","74.23","74.23","74.23","74.22","-0.04%"
"01/11/2024","74.26","74.26","74.26","74.26","-3.82%"
"01/10/2024","77.21","77.21","77.21","77.21","0.03%"
"01/09/2024","77.19","77.19","77.19","77.19","-0.66%"
"01/08/2024","77.70","77.70","77.70","77.70","0.01%"
"01/05/2024","77.69","77.69","77.69","77.69","2.60%"
"01/04/2024","75.72","75.72","75.72","75.70","0.69%"
"01/03/2024","75.20","75.20","75.20","75.20","8.62%"
"01/02/2024","69.23","69.23","69.23","69.23","-0.09%"
"01/01/2024","69.29","69.29","69.29","69.29","0.01%"
"12/29/2023","69.28","69.28","69.28","69.28","0.03%"
"12/28/2023","69.26","69.26","69.26","69.26","-1.45%"
"12/27/2023","70.28","70.28","70.29","70.28","0.00%"
"12/26/2023","70.28","70.28","70.28","70.27","0.00%"
"12/25/2023","70.28","70.28","70.28","70.28","0.01%"
"12/22/2023","70.27","70.27","70.29","70.27","-1.39%"
"12/21/2023","71.26","71.26","71.27","71.26","2.08%"
"12/20/2023","69.81","69.81","69.81","69.81","-1.37%"
"12/19/2023","70.78","70.78","70.78","70.78","-0.01%"
"12/18/2023","70.79","70.79","70.79","70.79","0.03%"
"12/15/2023","70.77","70.77","70.77","70.76","1.30%"
"12/14/2023","69.86","69.86","69.86","69.85","-4.61%"
"12/13/2023","73.24","73.24","73.24","73.24","-2.02%"
"12/12/2023","74.75","74.75","74.75","74.75","-1.28%"
"12/11/2023","75.72","75.72","75.72","75.71","0.01%"
"12/08/2023","75.71","75.71","75.71","75.71","0.00%"
"12/07/2023","75.71","75.71","75.71","75.71","-0.01%"
"12/06/2023","75.72","75.72","75.72","75.71","-0.03%"
"12/05/2023","75.74","75.74","75.74","75.74","-4.17%"
"12/04/2023","79.03","79.03","79.03","74.22","5.00%"
"12/01/2023","75.27","75.27","75.27","75.26","1.36%"
"11/30/2023","74.26","74.26","74.26","74.25","-1.35%"
"11/29/2023","75.28","75.28","75.28","75.28","0.05%"
"11/28/2023","75.24","75.24","75.24","75.23","0.00%"
"11/27/2023","75.24","75.24","75.25","75.24","0.03%"
"11/24/2023","75.22","75.22","75.22","75.22","-0.04%"
"11/23/2023","75.25","75.25","75.25","75.24","-1.93%"
"11/22/2023","76.73","76.73","76.75","76.73","1.94%"
"11/21/2023","75.27","75.27","75.27","75.26","-1.90%"
"11/20/2023","76.73","76.73","76.73","76.72","-1.96%"
"11/17/2023","78.26","78.26","78.26","78.26","-0.63%"
"11/16/2023","78.76","78.76","78.76","78.76","0.66%"
"11/15/2023","78.24","78.24","78.24","78.23","-5.95%"
"11/14/2023","83.19","83.19","83.19","83.19","-4.53%"
"11/13/2023","87.14","87.14","87.14","87.14","-0.01%"
"11/10/2023","87.15","87.15","87.15","87.15","2.34%"
"11/09/2023","85.16","85.16","85.16","85.16","0.59%"
"11/08/2023","84.66","84.66","84.66","84.66","-1.18%"
"11/07/2023","85.67","85.67","85.67","85.67","0.60%"
"11/06/2023","85.16","85.16","85.16","85.16","-3.37%"
"11/03/2023","88.13","88.13","97.39","88.13","-4.30%"
"11/02/2023","92.09","92.09","92.09","92.09","-6.05%"
"11/01/2023","98.02","98.02","98.02","98.02","-1.00%"
"10/31/2023","99.01","99.01","99.01","99.01","-2.43%"
"10/30/2023","101.48","101.48","101.48","101.48","0.00%"
"10/27/2023","101.48","101.48","101.48","101.48","-0.48%"
"10/26/2023","101.97","101.97","101.97","101.97","4.56%"
"10/25/2023","97.52","97.52","97.52","97.52","-1.50%"
"10/24/2023","99.01","99.01","99.01","98.73","-3.85%"
"10/23/2023","102.97","102.97","102.97","102.96","-0.90%"
"10/20/2023","103.91","101.97","103.91","101.97","3.91%"
"10/19/2023","100.00","100.00","101.97","100.00","3.06%"
"10/18/2023","97.03","97.03","97.03","97.03","1.03%"
"10/17/2023","96.04","95.05","97.91","95.05","1.04%"
"10/16/2023","95.05","95.05","95.05","95.05","-0.01%"
"10/13/2023","95.06","95.06","95.06","95.06","2.13%"
"10/12/2023","93.08","93.08","93.08","93.07","-2.08%"
"10/11/2023","95.06","95.06","95.06","95.05","-3.51%"
"10/10/2023","98.52","98.52","98.52","98.52","-3.38%"
"10/09/2023","101.97","101.97","101.97","101.97","0.98%"
"10/06/2023","100.98","100.98","100.99","100.98","3.02%"
"10/05/2023","98.02","98.02","98.02","98.02","-1.98%"
"10/04/2023","100.00","100.00","100.00","100.00","6.30%"
"10/03/2023","94.07","94.07","94.07","93.57","2.72%"
"10/02/2023","91.58","91.58","91.58","91.58","-1.09%"
"09/29/2023","92.59","92.59","92.59","92.59","-1.05%"
"09/28/2023","93.57","93.57","93.57","93.57","1.61%"
"09/27/2023","92.09","92.09","92.09","92.09","1.09%"
"09/26/2023","91.10","91.10","91.10","91.10","1.66%"
"09/25/2023","89.61","89.61","89.61","89.61","0.00%"
"09/22/2023","89.61","89.61","89.62","89.61","0.01%"
"09/21/2023","89.60","89.60","89.60","89.60","5.20%"
"09/20/2023","85.17","85.17","85.17","85.17","6.88%"
"09/19/2023","79.69","79.69","79.69","79.69","-1.23%"
"09/18/2023","80.68","80.68","80.68","80.68","3.82%"
"09/15/2023","77.71","77.71","77.71","77.71","-0.64%"
"09/14/2023","78.21","78.21","78.23","78.21","-0.62%"
"09/13/2023","78.70","78.70","78.70","78.69","-0.01%"
"09/12/2023","78.71","78.71","78.71","78.70","-1.86%"
"09/11/2023","80.20","80.20","80.20","80.20","0.00%"
"09/08/2023","80.20","80.20","80.21","80.20","-0.62%"
"09/07/2023","80.70","80.70","80.70","80.70","1.88%"
"09/06/2023","79.21","79.21","79.21","79.21","0.01%"
"09/05/2023","79.20","79.20","79.20","79.18","-0.01%"
"09/04/2023","79.21","79.21","79.21","79.20","-1.22%"
"09/01/2023","80.19","80.19","80.21","80.19","-1.84%"
"08/31/2023","81.69","81.69","81.69","81.69","-1.77%"
"08/30/2023","83.16","83.16","83.16","83.16","-2.34%"
"08/29/2023","85.15","85.15","85.15","85.14","-2.26%"
"08/28/2023","87.12","87.12","87.12","87.12","-0.57%"
"08/25/2023","87.62","87.62","87.62","87.62","4.11%"
"08/24/2023","84.16","84.16","84.16","84.15","1.77%"
"08/23/2023","82.70","82.70","82.70","82.69","-3.44%"
"08/22/2023","85.65","85.65","85.65","85.65","-6.97%"
"08/21/2023","92.07","92.07","92.07","92.07","1.06%"
"08/18/2023","91.10","91.10","91.10","91.10","3.38%"
"08/17/2023","88.12","88.12","88.13","88.12","1.12%"
"08/16/2023","87.14","87.14","87.14","87.14","1.16%"
"08/15/2023","86.14","86.14","86.14","86.13","3.57%"
"08/14/2023","83.17","83.17","83.17","83.16","2.41%"
"08/11/2023","81.21","81.21","81.21","81.20","0.02%"
"08/10/2023","81.19","81.19","81.20","81.19","1.22%"
"08/09/2023","80.21","80.21","80.21","80.20","-0.02%"
"08/08/2023","80.23","80.23","80.23","80.23","2.60%"
"08/07/2023","78.20","78.20","78.70","78.20","-0.66%"
"08/04/2023","78.72","78.72","78.72","78.71","-2.43%"
"08/03/2023","80.68","80.68","80.68","80.68","4.44%"
"08/02/2023","77.25","77.25","77.25","77.25","4.03%"
"08/01/2023","74.26","74.26","74.27","74.26","0.68%"
"07/31/2023","73.76","73.76","73.77","73.76","-3.25%"
"07/28/2023","76.24","76.24","76.28","76.24","-1.93%"
"07/27/2023","77.74","77.74","77.74","77.74","-2.47%"
"07/26/2023","79.71","79.71","79.72","79.71","-0.62%"
"07/25/2023","80.21","80.21","80.21","80.20","-3.01%"
"07/24/2023","82.70","82.70","82.72","82.70","-0.59%"
"07/21/2023","83.19","83.20","83.20","83.19","0.59%"
"07/20/2023","82.70","82.70","82.70","82.67","1.81%"
"07/19/2023","81.23","81.23","81.24","81.23","-1.23%"
"07/18/2023","82.24","82.24","82.24","82.23","0.02%"
"07/17/2023","82.22","82.22","82.23","82.22","1.86%"
"07/14/2023","80.72","80.72","80.72","80.72","-1.84%"
"07/13/2023","82.23","82.23","82.23","82.23","-4.03%"
"07/12/2023","85.68","85.68","85.68","85.68","-2.25%"
"07/11/2023","87.65","87.65","87.65","87.65","-1.11%"
"07/10/2023","88.63","88.63","88.64","88.63","0.00%"
"07/07/2023","88.63","88.63","88.63","88.63","2.87%"
"07/06/2023","86.16","86.16","86.16","86.15","1.14%"
"07/05/2023","85.19","85.19","85.19","85.19","0.00%"
"07/04/2023","85.19","85.19","85.19","85.18","-1.13%"
"07/03/2023","86.16","86.16","86.16","86.14","-2.25%"
"06/30/2023","88.14","88.14","88.14","88.12","-1.11%"
"06/29/2023","89.13","89.13","89.13","89.12","0.00%"
"06/28/2023","89.13","89.13","89.14","89.13","-1.63%"
"06/27/2023","90.61","90.61","90.61","90.61","-0.01%"
"06/26/2023","90.62","90.62","90.62","90.62","3.39%"
"06/23/2023","87.65","87.65","87.66","87.65","1.73%"
"06/22/2023","86.16","86.16","86.16","86.16","-0.01%"
"06/21/2023","86.17","86.17","86.17","86.16","1.76%"
"06/20/2023","84.68","84.68","84.69","84.68","1.77%"
"06/19/2023","83.21","83.21","83.21","83.20","0.02%"
"06/16/2023","83.19","83.19","83.19","83.19","0.00%"
"06/15/2023","83.19","83.19","83.21","83.19","-0.04%"
"06/14/2023","83.22","83.22","83.23","83.22","-1.16%"
"06/13/2023","84.20","84.20","84.20","84.19","0.01%"
"06/12/2023","84.19","84.19","84.19","84.19","0.00%"
"06/09/2023","84.19","84.19","84.19","84.17","-2.30%"
"06/08/2023","86.17","86.17","86.17","86.17","1.15%"
"06/07/2023","85.19","85.19","85.19","85.19","-0.57%"
"06/06/2023","85.68","85.68","85.69","85.68","1.18%"
"06/05/2023","84.68","84.68","84.68","84.67","-5.51%"
"06/02/2023","89.62","89.62","89.62","86.66","0.01%"
"06/01/2023","89.61","89.61","89.62","89.61","1.08%"
"05/31/2023","88.65","88.65","88.65","88.65","1.71%"
"05/30/2023","87.16","87.16","87.18","87.16","-3.81%"
"05/29/2023","90.61","90.61","90.62","90.61","-0.01%"
"05/26/2023","90.62","90.62","90.63","90.62","-1.07%"
"05/25/2023","91.60","91.60","91.60","91.60","1.63%"
"05/24/2023","90.13","90.13","90.13","90.13","-1.08%"
"05/23/2023","91.11","91.11","91.11","91.10","-0.56%"
"05/22/2023","91.62","91.62","91.62","91.61","-4.48%"
"05/19/2023","95.92","95.92","95.92","92.10","-8.00%"
"05/18/2023","104.25","104.25","104.25","97.89","7.00%"
"05/17/2023","97.43","97.44","97.61","97.44","-0.03%"
"05/16/2023","97.47","97.47","97.60","97.47","-0.04%"
"05/15/2023","97.51","97.51","97.59","97.51","-0.03%"
"05/12/2023","97.54","97.56","97.58","97.54","-0.04%"
"05/11/2023","97.58","97.58","97.58","97.56","0.04%"
"05/10/2023","97.54","97.56","97.56","97.54","0.01%"
"05/09/2023","97.53","97.53","97.53","97.53","1.55%"
"05/08/2023","96.04","96.04","96.04","96.04","-3.96%"
"05/05/2023","100.00","100.00","100.00","100.00","-0.49%"
"05/04/2023","100.49","100.49","100.49","100.49","2.00%"
"05/03/2023","98.52","98.52","98.52","98.52","4.17%"
"05/02/2023","94.58","94.58","94.58","94.57","-1.52%"
"05/01/2023","96.04","96.04","96.05","96.04","6.57%"
"04/28/2023","90.11","90.11","96.05","90.11","-8.98%"
"04/27/2023","99.01","99.01","99.01","99.01","1.52%"
"04/26/2023","97.53","97.53","97.53","97.53","2.59%"
"04/25/2023","95.07","95.07","95.07","95.07","0.01%"
"04/24/2023","95.06","95.06","95.07","95.06","0.52%"
"04/21/2023","94.57","94.57","94.57","94.57","-0.01%"
"04/20/2023","94.58","94.58","94.58","94.58","1.07%"
"04/19/2023","93.58","93.58","93.58","93.58","4.40%"
"04/18/2023","89.64","89.64","89.64","89.64","1.12%"
"04/17/2023","88.65","88.65","88.65","88.65","0.56%"
"04/14/2023","88.16","88.16","88.16","88.16","-2.21%"
"04/13/2023","90.15","90.15","90.15","90.15","0.02%"
"04/12/2023","90.13","90.13","90.13","90.13","-2.15%"
"04/11/2023","92.11","92.11","92.11","92.11","0.53%"
"04/10/2023","91.62","91.62","91.62","91.62","0.01%"
"04/07/2023","91.61","91.61","91.61","91.61","-0.01%"
"04/06/2023","91.62","91.62","91.62","91.62","0.01%"
"04/05/2023","91.61","91.61","91.61","91.61","0.00%"
"04/04/2023","91.61","91.61","91.61","91.61","-1.58%"
"04/03/2023","93.08","93.08","93.08","93.08","-2.08%"
"03/31/2023","95.06","95.06","95.06","95.06","-3.99%"
"03/30/2023","99.01","99.01","99.01","99.01","-6.52%"
"03/29/2023","105.92","105.92","105.92","105.92","-0.92%"
"03/28/2023","106.91","106.91","106.91","106.91","-5.24%"
"03/27/2023","112.82","112.82","112.82","112.82","0.02%"
"03/24/2023","112.80","112.80","112.80","112.80","6.51%"
"03/23/2023","105.91","105.91","105.91","105.91","-0.92%"
"03/22/2023","106.89","106.89","106.89","106.89","-4.40%"
"03/21/2023","111.81","111.81","111.81","111.81","-9.59%"
"03/20/2023","123.67","123.67","123.67","123.67","21.87%"
"03/17/2023","101.48","101.48","101.48","101.48","-6.81%"
"03/16/2023","108.90","108.90","108.90","108.90","1.84%"
"03/15/2023","106.93","106.93","106.93","106.93","7.96%"
"03/14/2023","99.04","99.04","99.04","99.04","0.03%"
"03/13/2023","99.01","99.01","99.01","99.01","-0.99%"
"03/10/2023","100.00","100.00","100.00","100.00","8.60%"
"03/09/2023","92.08","92.08","92.08","92.08","-1.05%"
"03/08/2023","93.06","93.06","93.06","93.06","6.79%"
"03/07/2023","87.14","87.14","87.14","87.14","0.00%"
"03/06/2023","87.14","87.14","87.14","87.14","-4.34%"
"03/03/2023","91.09","91.09","91.09","91.09","-2.64%"
"03/02/2023","93.56","93.56","93.56","93.56","3.28%"
"03/01/2023","90.59","90.59","90.59","90.59","-1.61%"
"02/28/2023","92.07","92.07","92.07","92.07","-2.12%"
"02/27/2023","94.06","94.06","94.06","94.06","0.53%"
"02/24/2023","93.56","93.56","93.56","93.56","-3.08%"
"02/23/2023","96.53","96.53","96.53","96.53","-3.47%"
"02/22/2023","100.00","100.00","100.00","100.00","5.72%"
"02/21/2023","94.59","94.59","94.59","94.59","0.05%"
"02/20/2023","94.55","94.55","94.55","94.55","0.00%"
"02/17/2023","94.55","94.55","94.55","94.55","7.27%"
"02/16/2023","88.14","88.14","88.14","88.14","0.00%"
"02/15/2023","88.14","88.14","88.14","88.14","-2.19%"
"02/14/2023","90.11","90.11","90.11","90.11","-2.14%"
"02/13/2023","92.08","92.08","92.08","92.08","4.48%"
"02/10/2023","88.13","88.13","88.13","88.13","2.30%"
"02/09/2023","86.15","86.15","86.15","86.15","-0.01%"
"02/08/2023","86.16","86.16","86.16","86.16","-2.25%"
"02/07/2023","88.14","88.14","88.14","88.14","5.96%"
"02/06/2023","83.18","83.18","83.18","83.18","6.30%"
"02/03/2023","78.25","78.25","78.25","78.25","-1.84%"
"02/02/2023","79.72","79.72","79.72","79.72","-7.46%"
"02/01/2023","86.15","86.15","86.15","86.15","-2.26%"
